name,occurrence,tonnageMax
bb_7_bismarck,0,300000
bb_6_bismarck,0,262500
bb_6_iowa,0,272500
bb_6,0,300000
bb_7_soyuz,0,300000
bb_7_austria,0,253750
bb_7_russia,0,247500
bb_6_france,0,237500
bb_7_kgeorge,0,231250
bb_7_littorio,0,231250
bb_7_spain,0,218750
bb_6_richelieu,0,212500
bb_7_china,0,206250
bb_8_china,0,196250
bb_6_kgeorge,0,188750
bb_6_soyuz,0,207500
bb_6_russia,0,197500
bb_5,0,240000
bb_5_old,0,225000
bb_5_japan,0,180000
bb_5_iowa,0,215000
bb_5_iowa_small,0,143750
bb_usa_north_carolina_large,0,131250
bb_6_littorio,0,181250
bb_6_italy,0,176250
bb_6_spain,0,178750
bb_6_china,0,151250
bb_6_china_exp,0,137500
bb_6_austria,0,202500
bb_5_bismarck,0,206250
bb_5_mission_test,0,240000
bb_5_mission,0,240000
bb_5_mission,1,240000
bb_5_iowa_mission,0,215000
bb_5_bismarck_mission,0,206250
bb_6_littorio_mission,0,181250
bb_5_richelieu_mission,0,162500
bb_6_soyuz_mission,0,207500
bb_5_exp_france,0,168750
bb_5_richelieu,0,162500
bb_5_kgeorge,0,151250
bb_5_bismarck_small,0,136250
bb_5_kgeorge_mission,0,151250
bb_5_italy,0,162500
bb_5_france,0,150000
bb_5_russia,0,172500
bb_7_china_exp,0,107500
bb_5_mod_france,0,135000
bb_5_austria,0,226250
bb_5_austria_alt,0,151250
bb_5_china,0,217500
bb_modernized_sideguns,0,86250
bb_4_britain,0,152500
bb_5_assault_austria,0,113750
bb_5_assault,0,148750
bb_4_britain_nelson,0,98750
bb_4_japan_wide,0,173750
bb_4_japan_3,0,172500
bb_4_japan_2,0,167500
bb_4_japan,0,162500
bb_4_generic,0,160000
bb_4_generic_alt,0,110000
bb_modernized_sideguns_var,0,87250
bb_4_russia,0,112500
bb_2_usa_newyork_wide,0,123750
bb_4_usa_modernized,0,116250
bb_2_usa_newyork_base,0,81250
bb_3_britain_modernized,0,105000
bb_5_austrian_pocket,0,97500
bb_5_generic_small,0,80000
bb_4_russia_small,0,87500
bb_5_cesare,0,72500
bb_4_german,0,152500
bb_4_france,0,150000
bb_4,0,155000
bb_3_german,0,142500
bb_4_italy,0,140000
bb_3_britain,0,127500
bb_3_japan,0,115000
bb_3_britain_elizabeth,0,112500
bb_2_britain,0,98750
bb_3,0,110000
bb_3_usa_var,0,123750
bb_2_usa,0,117500
bb_2_britain_france,0,98750
bb_2_japan,0,92500
bb_2_russia,0,92500
bb_2_russia_gangut,0,90000
bb_2_Italy,0,87500
bb_2,0,90000
bb_1_russia_alt,0,76250
bb_2_britain_alt3,0,88750
bb_2_britain_alt4,0,78750
bb_2_britain_alt2,0,81250
bb_3_france,0,90000
bb_2_german,0,85000
bb_2_britain_alt,0,73750
bb_1_italy,0,75000
bb_2_france,0,70000
bb_2_usa_newyork_var,0,111250
bb_2_usa_arizona_var,0,106250
bb_2_usa_newyork_base_var,0,98750
bb_2_usa_arizona,0,88750
bb_2_usa_newyork_var2,0,83750
bb_2_usa_texas_base,0,71250
bb_2_usa_newyork_var3,0,61250
bb_1_german_helgoland,0,68750
bb_1_italy_medium,0,62500
bb_1_large,0,68750
bb_1_russia,0,72500
bb_1_russia_gangut,0,65000
bb_1_french_large,0,73750
bb_1,0,65000
bb_1_usa,0,63750
bb_1_italy_small,0,53750
bb_1_french,0,67500
bb_1_japan,0,62500
bb_1_austria_larger,0,67500
bb_1_austria,0,62500
bb_1_german,0,55000
bb_1_german_nassau,0,56250
bb_1_china_semi,0,44250
bb_1_spain,0,41750
bb_1_german_early,0,48750
bb_1_austrian_early,0,46250
bb_1_russia_mission,0,72500
bb_1_german_mission,0,72500
